Douglas-Adams;Poland;Baranów;24;5;Machining;VRML/X3D;0;313;678;446;43;Iron;Polishing;15.07.2019;02.08.2019;
Nolan, Armstrong and Leannon;Germany;Frankfurt am Main;50;9;Machining;COLLADA;0;268;637;597;84;Tungsten carbide;Blasting;09.06.2019;02.09.2018;
Simonis, Schoen and Runte;Portugal;Madalena do Mar;24;7;Machining;IGES;1;562;656;469;85;Titanium;Sanding;29.07.2019;20.01.2019;
King-Orn;Poland;Krzyżanowice;23;1;Machining;FBX;0;405;440;676;64;Tungsten;Chemical curing;02.07.2019;24.07.2019;
Rohan, Lind and McGlynn;Poland;Skała;48;6;Machining;FBX;1;320;530;534;80;Titanium;Drilling;30.07.2019;28.10.2019;
Yost Inc;France;Ivry-sur-Seine;25;8;Machining;3DS;1;499;583;602;59;Alloy;Laser cutting;30.07.2019;07.01.2019;
Deckow-Green;Portugal;Conde;17;1;Machining;STEP;0;517;661;850;95;Chromium;Drilling;11.06.2019;18.11.2018;
Lesch-Streich;Germany;Augsburg;45;6;Machining;IGES;0;493;516;507;51;Nickel alloy;Sanding;24.07.2019;19.07.2019;
Schiller, Schumm and Gleason;Portugal;Lameira;11;4;Machining;STEP;1;522;349;574;64;Aluminium;Blasting;25.06.2019;28.07.2019;
Beahan, Cronin and Paucek;United Kingdom;Birmingham;35;4;Machining;FBX;0;483;567;634;21;Carbon steel;Blasting;27.07.2019;15.12.2019;
Harber, Cummerata and Beatty;Italy;Roma;13;3;Machining;STEP;0;450;299;446;21;Nickel alloy;Sanding;11.07.2019;02.10.2018;
Schamberger-Jakubowski;Germany;Köln;12;9;Machining;IGES;1;494;495;854;69;Titanium;Polishing;27.07.2019;12.08.2019;
O'Keefe-Lakin;Netherlands;Tilburg;10;2;Machining;3DS;1;542;659;832;96;Stainless steel;Laser cutting;08.07.2019;15.09.2018;
Schiller-Nitzsche;Poland;Bledzew;31;10;Machining;STEP;0;587;334;762;87;Titanium;Drilling;22.06.2019;18.11.2019;
Kris-Ratke;France;Troyes;39;5;Machining;FBX;1;434;555;135;65;Nickel alloy;Polishing;25.06.2019;31.07.2019;
Schiller, Fay and Turcotte;Poland;Kowale Oleckie;49;10;Machining;COLLADA;0;497;537;781;80;Chromium;Drilling;30.07.2019;21.10.2018;
Wintheiser-Kuvalis;France;Noyon;49;1;Machining;3DS;1;465;516;676;21;Stainless steel;Blasting;10.06.2019;13.09.2019;
Stehr, Wisozk and Morar;Poland;Żywiec;19;7;Machining;IGES;0;526;450;594;56;Iron;Polishing;01.06.2019;03.06.2019;
Haley-Casper;United Kingdom;Hatton;47;8;Machining;3DS;0;638;323;531;82;Stainless steel;Turning;22.06.2019;14.05.2019;
Halvorson, Bechtelar and Krajcik;France;Courbevoie;46;7;Machining;IGES;0;518;534;681;46;Stainless steel;Drilling;17.07.2019;13.03.2019;
Medhurst-DuBuque;Portugal;Odeleite;18;10;Machining;STL;1;270;499;54;47;Stainless steel;Sanding;06.07.2019;18.01.2019;
Cummings, Block and Waters;Germany;Essen;24;1;Machining;COLLADA;0;536;607;620;24;Tungsten;Blasting;29.07.2019;16.08.2019;
Lowe LLC;France;Marseille;15;9;Machining;VRML/X3D;1;571;513;335;83;Nickel alloy;Milling;09.06.2019;16.02.2019;
Bode Group;Portugal;Monte Novo;13;10;Machining;STEP;1;421;667;775;89;Titanium;Turning;04.07.2019;26.09.2019;
Mosciski, Durgan and Parker;Poland;Wysokie Mazowieckie;24;5;Machining;STL;0;477;420;381;93;Chromium;Polishing;08.06.2019;23.11.2019;
Schuster-Medhurst;Netherlands;Katwijk;50;3;Machining;3DS;1;531;544;414;46;Carbon steel;Drilling;23.07.2019;11.12.2019;
Runte-Heller;France;Saint-Herblain;34;9;Machining;VRML/X3D;0;452;521;657;58;Chromium;Sanding;09.06.2019;30.07.2019;
Block-Jones;Portugal;Valongo;12;3;Machining;FBX;1;616;569;259;31;Aluminium;Drilling;24.06.2019;09.12.2019;
Pouros LLC;Portugal;Lemende;26;9;Machining;3DS;0;656;455;756;31;Iron;Sanding;10.07.2019;08.09.2019;
Waters-Jacobson;France;La Roche-sur-Yon;23;3;Machining;3DS;0;554;551;264;29;Stainless steel;Turning;29.07.2019;02.02.2019;
Stark-Cummings;Poland;Mosina;30;8;Machining;STEP;0;395;499;811;58;Iron;Rolling;14.07.2019;09.09.2019;
Koelpin, Jast and Wisozk;Poland;Lipno;45;10;Machining;STEP;1;307;572;539;97;Tungsten;Rolling;15.06.2019;02.12.2019;
Towne-Dicki;France;Charleville-Mézières;41;4;Machining;VRML/X3D;1;416;691;152;50;Alloy;Milling;03.06.2019;30.09.2019;
Botsford LLC;Portugal;Sarzedo;24;8;Machining;FBX;1;576;566;871;45;Tungsten;Blasting;03.07.2019;13.01.2019;
Conn, Cruickshank and Lebsack;France;Mulhouse;39;9;Machining;FBX;0;561;555;460;50;Carbon steel;Polishing;12.06.2019;29.03.2019;
Morar, Borer and Metz;Poland;Podgórzyn;12;6;Machining;IGES;1;432;344;573;84;Carbon steel;Laser cutting;20.07.2019;19.07.2019;
Gibson Group;Poland;Kłoczew;29;10;Machining;3DS;1;394;386;784;37;Stainless steel;Drilling;27.06.2019;12.03.2019;
Smith-Maggio;Poland;Cielmice;12;8;Machining;STEP;0;634;505;788;64;Chromium;Drilling;17.07.2019;25.06.2019;
Smitham Group;Portugal;Lemende;43;7;Machining;3DS;0;359;464;455;58;Hardwood;Sanding;01.06.2019;12.11.2019;
Ryan-Metz;France;Cosne-Cours-sur-Loire;50;1;Machining;STL;0;436;413;418;56;Tungsten carbide;Blasting;18.06.2019;21.07.2019;
Rogahn Inc;Portugal;São Brás de Alportel;20;4;Machining;FBX;1;524;393;643;91;Tungsten;Welding;09.07.2019;12.08.2019;
Parisian and Sons;France;Nemours;12;7;Machining;FBX;1;378;546;573;47;Chromium;Rolling;21.06.2019;12.05.2019;
Price, Bernhard and Cruickshank;France;Paris 09;37;2;Machining;IGES;1;507;634;478;90;Stainless steel;Welding;25.07.2019;13.06.2019;
Rohan and Sons;France;Lomme;46;3;Machining;IGES;0;465;459;468;23;Hardwood;Welding;19.06.2019;15.11.2019;
Wunsch-Brekke;United Kingdom;London;37;7;Machining;VRML/X3D;0;558;506;625;50;Alloy;Welding;17.06.2019;04.12.2018;
Nader, Medhurst and Brown;Netherlands;Veghel;31;8;Machining;FBX;1;601;320;337;63;Carbon steel;Drilling;24.07.2019;20.12.2018;
Towne Group;Poland;Słupno;27;7;Machining;COLLADA;1;542;539;499;22;Tungsten carbide;Polishing;19.06.2019;02.10.2019;
Schmitt-O'Connell;Netherlands;Voorburg;48;6;Machining;VRML/X3D;1;347;449;708;94;Iron;Turning;02.06.2019;26.06.2019;
Connelly-Kertzmann;Poland;Zagórów;11;10;Machining;3DS;0;522;616;817;33;Chromium;Welding;17.06.2019;07.08.2019;
Schmitt, Hilpert and Greenholt;Poland;Lipka;33;7;Machining;COLLADA;0;503;604;365;29;Hardwood;Welding;25.07.2019;24.03.2019;
Waters-Nitzsche;Portugal;Vilarinho das Cambas;48;4;Machining;FBX;1;606;553;667;83;Carbon steel;Turning;29.06.2019;23.03.2019;
Stark-Morar;Portugal;Souto do Meio;24;6;Machining;STL;1;465;644;377;30;Chromium;Sanding;03.06.2019;17.09.2019;
Swift-Hand;Poland;Borne Sulinowo;46;4;Machining;IGES;1;516;336;400;35;Titanium;Chemical curing;22.06.2019;16.12.2018;
Lemke, Davis and Hane;Portugal;Custóias;48;1;Machining;FBX;0;454;307;677;81;Hardwood;Polishing;30.06.2019;29.10.2018;
Rodriguez Inc;Portugal;Moita;36;2;Machining;IGES;0;578;436;730;57;Chromium;Blasting;11.07.2019;24.07.2019;
Lehner LLC;France;Roscoff;40;8;Machining;STEP;0;694;421;630;40;Hardwood;Sanding;20.06.2019;26.10.2018;
Cummerata Group;France;Besançon;20;7;Machining;OBJ;1;741;537;795;58;Tungsten carbide;Laser cutting;25.06.2019;05.03.2019;
Tromp-Konopelski;France;Évreux;47;2;Machining;STEP;1;446;664;897;95;Chromium;Rolling;02.06.2019;21.01.2019;
Ondricka Group;France;Saint-Chamond;22;9;Machining;3DS;1;411;656;573;34;Hardwood;Rolling;12.07.2019;17.11.2018;
Farrell, Effertz and Hodkiewicz;Poland;Polanka Wielka;32;6;Machining;IGES;1;392;467;280;99;Titanium;Sanding;27.06.2019;04.11.2019;
Gulgowski-Kutch;Poland;Waśniów;34;7;Machining;COLLADA;0;480;416;486;100;Iron;Milling;19.07.2019;13.12.2018;
Swift-Wilderman;Spain;Badajoz;47;1;Machining;FBX;1;551;344;785;85;Tungsten carbide;Milling;30.07.2019;07.09.2019;
Auer, Crist and Lehner;France;Bastia;17;8;Machining;VRML/X3D;1;641;646;205;37;Stainless steel;Drilling;25.07.2019;07.12.2018;
Gibson-Jacobi;France;Granville;38;4;Machining;COLLADA;1;396;626;458;69;Alloy;Polishing;27.07.2019;26.02.2019;
Spencer, Ritchie and Ziemann;Poland;Raciążek;36;7;Machining;STEP;0;516;338;352;22;Nickel alloy;Milling;22.06.2019;19.09.2018;
Wuckert-Schumm;France;Mundolsheim;28;2;Machining;STEP;0;499;439;360;53;Tungsten;Sanding;18.06.2019;19.10.2018;
Schowalter-Grant;Poland;Łomża;16;1;Machining;3DS;0;354;286;521;50;Chromium;Sanding;07.06.2019;15.09.2019;
O'Conner-Cummings;Poland;Otwock;17;2;Machining;COLLADA;1;253;523;367;35;Tungsten carbide;Polishing;24.06.2019;22.09.2019;
Baumbach-Buckridge;Portugal;Quintães;48;5;Machining;STL;1;382;464;572;22;Hardwood;Blasting;21.06.2019;07.09.2019;
Schamberger-Nitzsche;Portugal;Arrentela;11;10;Machining;3DS;1;418;486;404;68;Carbon steel;Drilling;29.06.2019;13.02.2019;
Gutkowski-Bosco;France;Épernay;40;2;Machining;IGES;1;615;483;501;26;Tungsten;Welding;30.06.2019;20.04.2019;
Upton-Beier;Poland;Daszewice;37;6;Machining;OBJ;0;541;529;818;33;Alloy;Laser cutting;26.07.2019;23.07.2019;
Kerluke Inc;Poland;Wilga;32;1;Machining;3DS;0;615;603;566;20;Alloy;Turning;18.07.2019;30.08.2019;
Heidenreich-Emard;France;Paris 20;10;8;Machining;STL;1;610;412;123;54;Carbon steel;Drilling;29.07.2019;25.10.2018;
Lakin, Metz and Oberbrunner;Portugal;Lourido;23;10;Machining;VRML/X3D;0;530;464;389;84;Chromium;Turning;23.06.2019;11.12.2019;
Hessel-Nader;Portugal;Barreira;33;8;Machining;OBJ;1;307;460;367;83;Chromium;Rolling;07.07.2019;27.10.2019;
Gleason-Bode;Poland;Szlachta;20;4;Machining;STEP;0;558;559;884;37;Iron;Drilling;01.07.2019;15.04.2019;
Crona, Howell and Smith;Poland;Bledzew;27;1;Machining;FBX;0;708;451;250;31;Chromium;Welding;22.07.2019;03.09.2019;
Jaskolski LLC;Poland;Chojnice;10;5;Machining;3DS;1;427;608;247;79;Carbon steel;Milling;18.07.2019;16.01.2019;
Hane-Hayes;Poland;Jawornik Polski;34;10;Machining;OBJ;1;564;535;708;80;Tungsten;Sanding;16.06.2019;14.10.2018;
Mertz, White and Kuhlman;France;Cluses;27;10;Machining;3DS;0;499;497;471;72;Aluminium;Chemical curing;25.07.2019;23.11.2018;
Rodriguez, Gislason and Willms;Germany;Kassel;44;4;Machining;OBJ;1;482;526;803;41;Carbon steel;Drilling;04.06.2019;08.04.2019;
Bergnaum and Sons;Portugal;Torreira;30;1;Machining;COLLADA;0;473;468;189;98;Tungsten carbide;Milling;18.07.2019;01.05.2019;
Dare Group;Poland;Konstantynów Łódzki;17;1;Machining;FBX;1;458;277;516;24;Alloy;Drilling;13.07.2019;08.10.2018;
Klein LLC;Portugal;Oliveiras;21;8;Machining;OBJ;0;450;689;932;87;Iron;Welding;01.06.2019;07.04.2019;
Beatty and Sons;Portugal;Monte de Trigo;28;4;Machining;FBX;1;545;521;117;57;Tungsten carbide;Polishing;16.07.2019;03.11.2019;
Nitzsche, Stiedemann and Lockman;Portugal;Guifões;24;4;Machining;VRML/X3D;1;473;459;638;46;Nickel alloy;Laser cutting;16.07.2019;25.12.2018;
Abernathy-Tillman;France;Nîmes;48;6;Machining;STL;1;436;518;462;22;Chromium;Welding;28.07.2019;06.03.2019;
Crona-Haley;Germany;Berlin;46;1;Machining;STEP;0;411;602;404;47;Nickel alloy;Welding;05.06.2019;01.09.2019;
Collier, Cassin and Hickle;Portugal;Gondar;30;4;Machining;STEP;1;457;674;583;54;Carbon steel;Blasting;20.06.2019;04.11.2018;
Mayert and Sons;France;Blois;26;5;Machining;IGES;1;384;858;418;30;Alloy;Turning;10.06.2019;06.09.2018;
Barton, Stokes and Barrows;France;Romorantin-Lanthenay;35;7;Machining;IGES;1;500;335;436;81;Carbon steel;Milling;15.07.2019;31.10.2019;
Oberbrunner-Keebler;Portugal;Agrela;27;4;Machining;FBX;0;648;363;215;40;Tungsten;Milling;04.07.2019;20.01.2019;
Corkery, Douglas and Pouros;Poland;Piła;10;8;Machining;STL;1;497;551;733;57;Tungsten;Sanding;07.07.2019;08.11.2018;
Wuckert-Rice;France;Meylan;43;5;Machining;STEP;1;631;396;549;44;Iron;Rolling;15.06.2019;14.09.2019;
Bergstrom Group;France;Vittel;50;3;Machining;COLLADA;0;432;553;446;92;Nickel alloy;Milling;08.06.2019;07.02.2019;
Hane, Smith and Spinka;France;Levallois-Perret;49;7;Machining;VRML/X3D;0;605;319;317;63;Aluminium;Turning;11.07.2019;05.09.2019;
Gutkowski-Huel;Netherlands;Kerkrade;17;10;Machining;VRML/X3D;1;453;442;102;54;Aluminium;Drilling;17.07.2019;19.09.2019;
Rosenbaum, Yundt and Wyman;Portugal;Sarzedo;25;8;Machining;FBX;1;437;531;810;94;Nickel alloy;Milling;04.06.2019;05.08.2019;
Goodwin-Waelchi;France;Libourne;44;10;Machining;FBX;0;464;331;578;76;Tungsten;Rolling;06.07.2019;14.11.2018;
Strosin and Sons;Portugal;Palhais;18;1;Machining;VRML/X3D;0;654;366;469;98;Tungsten carbide;Blasting;18.07.2019;24.08.2019;
Cruickshank Group;Portugal;Alqueidão;11;7;Machining;3DS;1;528;494;463;25;Hardwood;Drilling;20.06.2019;04.12.2019;
Padberg, Howe and Kihn;Portugal;Montalvão;19;10;Machining;STL;0;677;318;319;84;Iron;Rolling;11.07.2019;09.12.2019;
Wehner Inc;Poland;Ostaszewo;16;2;Machining;VRML/X3D;0;690;398;500;71;Carbon steel;Milling;09.07.2019;30.01.2019;
Hansen and Sons;Poland;Kobiernice;20;7;Machining;STL;1;433;565;657;84;Carbon steel;Drilling;11.06.2019;08.02.2019;
Lebsack Inc;France;Loudun;11;6;Machining;COLLADA;1;461;544;432;49;Alloy;Laser cutting;01.06.2019;30.03.2019;
Reilly-Walter;Portugal;Abuxarda;44;2;Machining;VRML/X3D;1;496;548;725;34;Nickel alloy;Milling;28.06.2019;28.11.2018;
Cummerata LLC;Portugal;Arnelas;32;7;Machining;VRML/X3D;0;477;554;431;78;Carbon steel;Chemical curing;29.06.2019;15.07.2019;
Jenkins Group;Portugal;Granja;27;7;Machining;FBX;0;524;246;394;38;Nickel alloy;Sanding;12.07.2019;07.04.2019;
Wolff Inc;Portugal;Venda Nova;35;10;Machining;FBX;1;453;536;609;73;Iron;Turning;10.06.2019;13.11.2019;
Conroy-Quigley;Portugal;Fornos;11;9;Machining;VRML/X3D;1;630;426;451;33;Hardwood;Welding;14.06.2019;23.01.2019;
Gerhold Inc;France;Créteil;31;3;Machining;3DS;0;536;606;515;51;Tungsten carbide;Polishing;18.06.2019;12.10.2019;
Turner Inc;France;Épinal;25;10;Machining;VRML/X3D;0;388;506;581;44;Carbon steel;Rolling;25.07.2019;20.07.2019;
Pagac-Gulgowski;Italy;Roma;11;6;Machining;STL;1;541;575;347;50;Nickel alloy;Drilling;26.06.2019;06.03.2019;
Leffler-Oberbrunner;France;Châtellerault;37;5;Machining;IGES;1;544;363;480;21;Stainless steel;Welding;19.07.2019;02.11.2018;
Ebert, Smith and D'Amore;France;Forbach;30;7;Machining;STL;1;576;582;765;23;Tungsten;Turning;11.06.2019;07.04.2019;
Dach, Blick and Treutel;Portugal;Corroios;25;9;Machining;IGES;1;623;356;179;20;Carbon steel;Blasting;16.07.2019;14.09.2019;
Kunze LLC;Poland;Repki;28;6;Machining;COLLADA;0;493;593;491;55;Tungsten;Chemical curing;03.07.2019;15.08.2019;
Fahey Group;Portugal;São Paio de Gramaços;16;8;Machining;STL;0;568;549;497;98;Nickel alloy;Drilling;11.07.2019;23.06.2019;
Botsford-Kerluke;Portugal;Tojeira;12;3;Machining;VRML/X3D;1;548;478;845;78;Hardwood;Turning;29.07.2019;08.12.2019;
Barton, Heller and Stark;Poland;Wojsławice;46;2;Machining;VRML/X3D;1;513;414;335;100;Hardwood;Turning;11.07.2019;30.11.2018;
MacGyver, Kilback and Goodwin;France;Caen;17;5;Machining;VRML/X3D;1;393;416;360;33;Chromium;Sanding;03.07.2019;17.03.2019;
Littel-Effertz;Portugal;Carnaxide;46;10;Machining;3DS;0;350;590;779;77;Chromium;Polishing;06.07.2019;23.08.2019;
Grant-Becker;Poland;Stanisław Dolny;27;8;Machining;COLLADA;0;502;605;477;82;Stainless steel;Milling;15.07.2019;04.09.2019;
Tremblay-Huels;France;Paris 02;47;6;Machining;STL;1;388;429;376;89;Iron;Drilling;26.07.2019;30.03.2019;
Bartell LLC;Portugal;Valinhos;37;4;Machining;IGES;1;399;550;1089;26;Carbon steel;Milling;01.06.2019;25.11.2019;
Corwin-Batz;France;Tassin-la-Demi-Lune;41;10;Machining;3DS;0;543;396;400;65;Tungsten;Blasting;22.07.2019;05.03.2019;
Spencer, Dickinson and Runolfsdottir;France;Lagnieu;41;3;Machining;IGES;1;491;496;385;60;Stainless steel;Rolling;26.07.2019;10.04.2019;
Pollich, Prohaska and Kihn;Germany;Magdeburg;11;10;Machining;3DS;0;525;514;502;73;Stainless steel;Milling;16.07.2019;07.12.2019;
Lesch, Romaguera and McKenzie;Portugal;Rio de Moinhos;50;8;Machining;FBX;0;296;485;444;48;Tungsten;Laser cutting;09.07.2019;09.01.2019;
Leannon and Sons;Poland;Lyski;13;5;Machining;OBJ;0;492;449;626;72;Alloy;Blasting;18.07.2019;03.04.2019;
Nikolaus Group;France;Chantilly;20;8;Machining;STL;0;334;460;542;67;Aluminium;Blasting;25.07.2019;25.02.2019;
Toy Inc;Poland;Brwinów;20;9;Machining;VRML/X3D;1;568;695;601;47;Iron;Chemical curing;19.06.2019;15.07.2019;
Osinski-Jones;France;Bergerac;29;7;Machining;VRML/X3D;0;584;480;208;30;Stainless steel;Rolling;23.06.2019;28.10.2018;
Schiller Group;Portugal;Santa Cruz;13;8;Machining;STEP;0;477;501;516;86;Tungsten carbide;Rolling;28.06.2019;09.07.2019;
Moen and Sons;Poland;Sokółka;32;10;Machining;VRML/X3D;1;426;388;239;99;Chromium;Laser cutting;08.06.2019;28.01.2019;
Cummings-O'Hara;Portugal;Donim;14;10;Machining;FBX;1;497;607;838;82;Iron;Blasting;17.06.2019;22.10.2018;
Langosh LLC;France;Vanves;48;1;Machining;COLLADA;0;342;440;753;60;Carbon steel;Rolling;23.07.2019;07.01.2019;
Hickle-Sauer;France;Paris 01;38;3;Machining;FBX;0;448;477;363;72;Aluminium;Laser cutting;25.07.2019;25.08.2019;
Simonis LLC;Poland;Chodzież;27;3;Machining;COLLADA;1;465;536;197;35;Tungsten carbide;Chemical curing;09.06.2019;12.12.2018;
Gaylord-Koch;Italy;Roma;46;6;Machining;COLLADA;0;471;592;347;96;Nickel alloy;Welding;04.06.2019;25.07.2019;
Nikolaus-Frami;Poland;Kęty;31;2;Machining;3DS;0;620;644;644;96;Hardwood;Chemical curing;08.06.2019;15.11.2018;
Keeling, Wiegand and Schoen;Portugal;Sernancelhe;25;5;Machining;FBX;0;447;543;694;23;Nickel alloy;Welding;08.07.2019;25.02.2019;
Collier Group;France;Yvetot;36;8;Machining;IGES;1;351;358;413;66;Tungsten carbide;Blasting;23.07.2019;13.10.2018;
Kling Inc;Portugal;Loures;22;2;Machining;COLLADA;1;541;610;386;36;Iron;Rolling;18.06.2019;10.10.2019;
Funk-Rogahn;Poland;Łąka Prudnicka;21;7;Machining;IGES;1;571;411;596;49;Nickel alloy;Polishing;19.07.2019;05.07.2019;
Wuckert, Kub and Walsh;Germany;Dresden;32;7;Machining;COLLADA;1;439;531;747;93;Iron;Rolling;29.07.2019;16.05.2019;
Prosacco-Kuphal;Poland;Hornówek;26;5;Machining;IGES;1;313;503;466;87;Alloy;Sanding;20.06.2019;05.11.2019;
Conroy-Smith;Portugal;Toutosa;11;1;Machining;FBX;1;461;411;403;34;Tungsten carbide;Rolling;04.07.2019;22.06.2019;
Reinger, Prohaska and Fritsch;Poland;Widuchowa;28;2;Machining;FBX;0;421;517;261;40;Stainless steel;Sanding;17.06.2019;09.05.2019;
Hoppe and Sons;Portugal;Longos;36;9;Machining;3DS;0;398;387;528;32;Chromium;Turning;07.07.2019;08.02.2019;
Lynch-Russel;Portugal;Parreira;34;2;Machining;3DS;0;465;288;538;49;Iron;Laser cutting;17.06.2019;28.08.2019;
Bechtelar, Hoeger and Jacobi;United Kingdom;Dean;44;1;Machining;3DS;1;691;517;763;73;Carbon steel;Welding;18.06.2019;04.10.2018;
Wiegand, Greenholt and Cremin;Portugal;Carregal;34;8;Machining;STL;1;549;536;458;94;Chromium;Milling;22.06.2019;05.05.2019;
Funk LLC;Poland;Kuryłówka;36;10;Machining;STL;0;444;538;752;47;Aluminium;Drilling;30.07.2019;18.05.2019;
Jast-Jenkins;Poland;Rekowo Dolne;33;8;Machining;3DS;1;521;454;314;66;Alloy;Blasting;30.07.2019;19.05.2019;
Kiehn, Upton and Rosenbaum;Poland;Wielka Wieś;17;2;Machining;FBX;1;522;750;826;53;Chromium;Drilling;02.06.2019;06.02.2019;
Romaguera LLC;France;Dijon;23;6;Machining;VRML/X3D;0;347;598;258;33;Chromium;Laser cutting;29.07.2019;21.09.2019;
Lynch LLC;Portugal;Carrasqueira;20;5;Machining;STEP;0;438;536;642;49;Carbon steel;Blasting;26.07.2019;26.05.2019;
Hahn, Gerhold and Botsford;France;Strasbourg;33;10;Machining;STL;0;432;482;459;20;Stainless steel;Blasting;11.07.2019;24.02.2019;
Lehner Inc;Portugal;Mosteiró;49;4;Machining;STL;0;448;365;994;48;Iron;Turning;23.07.2019;19.12.2018;
Smitham, Tromp and Bailey;Portugal;Poiares;34;8;Machining;3DS;1;419;596;587;99;Nickel alloy;Laser cutting;19.07.2019;01.09.2019;
Beahan-Pollich;France;Bobigny;20;8;Machining;3DS;0;516;407;360;100;Chromium;Blasting;08.07.2019;02.07.2019;
Stoltenberg Inc;France;Amiens;17;7;Machining;STL;0;524;477;503;83;Stainless steel;Turning;22.07.2019;19.09.2018;
Moore-Pfannerstill;Poland;Rybczewice;45;7;Machining;FBX;1;754;677;585;49;Chromium;Rolling;05.07.2019;14.11.2018;
Rau LLC;Poland;Połomia;50;4;Machining;COLLADA;0;608;413;613;65;Stainless steel;Sanding;19.07.2019;09.10.2019;
Hoeger LLC;Germany;Hannover;40;1;Machining;3DS;0;667;531;394;96;Iron;Milling;16.06.2019;28.03.2019;
Bode, Yundt and Nader;Poland;Przecław;16;10;Machining;COLLADA;0;491;466;677;26;Stainless steel;Drilling;04.07.2019;23.02.2019;
Schoen-Watsica;Poland;Dębowa Łąka;21;9;Machining;VRML/X3D;0;638;522;540;32;Tungsten carbide;Sanding;10.07.2019;23.07.2019;
O'Conner Inc;Portugal;Quinta;30;5;Machining;STL;1;401;485;346;51;Alloy;Drilling;01.06.2019;26.03.2019;
Steuber, Durgan and Orn;France;Nantes;20;1;Machining;COLLADA;0;489;418;505;64;Tungsten carbide;Drilling;15.07.2019;12.06.2019;
