Consumer query:

Ranked results from semantic matching: 
1. Supplier Name: Grant-Becker, Similarity Score: 0.86
Offered Process: LaserBeamCutting, Offered Material: StainlessSteel, Offered Machine: LaserCuttingMachine, Offered Capacity: 125, Certification: ISO9003, Available from-to: 2019-02-01 - 2019-04-15
Offered Process: WireEDM, Offered Material: StainlessSteel_316, Offered Machine: EDMMachine, Offered Capacity: 150, Certification: ISO9003, Available from-to: 2019-02-01 - 2019-04-15
15. Supplier Name: Tremblay LLC, Similarity Score: 0.69
Offered Process: LaserBeamCutting, Offered Material: AusteniticStainlessSteel, Offered Machine: LaserCuttingMachine, Offered Capacity: 150, Certification: ISO9002, Available from-to: 2019-02-15 - 2019-05-01
Offered Process: WaterJetCutting, Offered Material: MartensiticStainlessSteel, Offered Machine: WaterJetCuttingMachine, Offered Capacity: 75, Certification: ISO9002, Available from-to: 2019-01-01 - 2019-03-15
16. Supplier Name: Boehm-Ziemann, Similarity Score: 0.68
Offered Process: VerticalMilling, Offered Material: StainlessSteel, Offered Machine: VerticalMillingMachine, Offered Capacity: 150, Certification: ISO9003, Available from-to: 2019-02-01 - 2019-04-15
Offered Process: GearHobbing, Offered Material: CarbonSteel, Offered Machine: GearShaperMachine, Offered Capacity: 125, Certification: ISO9003, Available from-to: 2019-02-15 - 2019-05-01
Offered Process: PrecisionMilling, Offered Material: StainlessSteel, Offered Machine: ComputerControlledMachineTool, Offered Capacity: 50, Certification: ISO9003, Available from-to: 2019-01-15 - 2019-04-01
17. Supplier Name: Armstrong-Leannon, Similarity Score: 0.68
Offered Process: CNCTurning, Offered Material: WhiteIron, Offered Machine: CNCTurnMachine, Offered Capacity: 50, Certification: ISO14000, Available from-to: 2019-01-01 - 2019-03-15
Offered Process: PrecisionMilling, Offered Material: StainlessSteel_316, Offered Machine: ComputerControlledMachineTool, Offered Capacity: 125, Certification: ISO14000, Available from-to: 2019-02-01 - 2019-04-15
18. Supplier Name: Bartell LLC, Similarity Score: 0.68
Offered Process: WaterJetCutting, Offered Material: StainlessSteel_316, Offered Machine: WaterJetCuttingMachine, Offered Capacity: 150, Certification: ISO9004, Available from-to: 2019-02-01 - 2019-04-15
Offered Process: WireEDM, Offered Material: HighAlloySteel, Offered Machine: EDMMachine, Offered Capacity: 75, Certification: ISO9004, Available from-to: 2019-02-01 - 2019-04-15
Offered Process: ElectricalDischargeMachining, Offered Material: WhiteIron, Offered Machine: EDMMachine, Offered Capacity: 75, Certification: ISO9004, Available from-to: 2019-02-15 - 2019-05-01
Offered Process: CNCMilling, Offered Material: Steel, Offered Machine: ComputerControlledMachineTool, Offered Capacity: 125, Certification: ISO9004, Available from-to: 2019-02-01 - 2019-04-15
19. Supplier Name: Gibson-Jacobi, Similarity Score: 0.68
Offered Process: HorizontalMilling, Offered Material: StainlessSteel_304, Offered Machine: HorizontalMillingMachine, Offered Capacity: 125, Certification: ISO9002, Available from-to: 2019-02-01 - 2019-04-15
Offered Process: ElectricalDischargeMachining, Offered Material: MalleableIron, Offered Machine: EDMMachine, Offered Capacity: 75, Certification: ISO9002, Available from-to: 2019-02-15 - 2019-05-01
Offered Process: LaserBeamCutting, Offered Material: Steel, Offered Machine: LaserCuttingMachine, Offered Capacity: 125, Certification: ISO9002, Available from-to: 2019-01-01 - 2019-03-15
20. Supplier Name: Baumbach, Deckow and Bahringer, Similarity Score: 0.68
Offered Process: CNCMilling, Offered Material: StainlessSteel_400, Offered Machine: ComputerControlledMachineTool, Offered Capacity: 75, Certification: ISO9004, Available from-to: 2019-03-01 - 2019-05-15
Offered Process: HoleMaking, Offered Material: GrayIron, Offered Machine: EDMDrillingMachine, Offered Capacity: 50, Certification: ISO9004, Available from-to: 2019-01-15 - 2019-04-01
Offered Process: Shaping, Offered Material: StainlessSteel_304, Offered Machine: ShaperMachine, Offered Capacity: 125, Certification: ISO9004, Available from-to: 2019-02-01 - 2019-04-15
Offered Process: CNCTurning, Offered Material: CompactedGraphiteIron, Offered Machine: CNCTurnMachine, Offered Capacity: 50, Certification: ISO9004, Available from-to: 2019-02-01 - 2019-04-15
Offered Process: ElectricalDischargeMachining, Offered Material: HighAlloySteel, Offered Machine: EDMMachine, Offered Capacity: 150, Certification: ISO9004, Available from-to: 2019-02-01 - 2019-04-15
21. Supplier Name: Ortiz, Beier and Rogahn, Similarity Score: 0.68
Offered Process: VerticalMilling, Offered Material: StainlessSteel_302, Offered Machine: VerticalMillingMachine, Offered Capacity: 125, Certification: ISO9004, Available from-to: 2019-02-01 - 2019-04-15
22. Supplier Name: Stehr, Wisozk and Morar, Similarity Score: 0.68
Offered Process: Shaping, Offered Material: StainlessSteel_304, Offered Machine: ShaperMachine, Offered Capacity: 50, Certification: ISO9003, Available from-to: 2019-02-15 - 2019-05-01
Offered Process: GearHobbing, Offered Material: AusteniticStainlessSteel, Offered Machine: GearShaperMachine, Offered Capacity: 125, Certification: ISO9003, Available from-to: 2019-02-01 - 2019-04-15
23. Supplier Name: Fisher, Kris and Murphy, Similarity Score: 0.68
Offered Process: WireEDM, Offered Material: HighAlloySteel, Offered Machine: EDMMachine, Offered Capacity: 125, Certification: ISO9001, Available from-to: 2019-02-01 - 2019-04-15
24. Supplier Name: Baumbach, Deckow and Bahringer, Similarity Score: 0.68
Offered Process: CNCMilling, Offered Material: StainlessSteel_400, Offered Machine: ComputerControlledMachineTool, Offered Capacity: 75, Certification: ISO9004, Available from-to: 2019-03-01 - 2019-05-15
Offered Process: HoleMaking, Offered Material: GrayIron, Offered Machine: EDMDrillingMachine, Offered Capacity: 50, Certification: ISO9004, Available from-to: 2019-01-15 - 2019-04-01
Offered Process: Shaping, Offered Material: StainlessSteel_304, Offered Machine: ShaperMachine, Offered Capacity: 125, Certification: ISO9004, Available from-to: 2019-02-01 - 2019-04-15
Offered Process: CNCTurning, Offered Material: CompactedGraphiteIron, Offered Machine: CNCTurnMachine, Offered Capacity: 50, Certification: ISO9004, Available from-to: 2019-02-01 - 2019-04-15
Offered Process: ElectricalDischargeMachining, Offered Material: HighAlloySteel, Offered Machine: EDMMachine, Offered Capacity: 150, Certification: ISO9004, Available from-to: 2019-02-01 - 2019-04-15
25. Supplier Name: Wiegand, Greenholt and Cremin, Similarity Score: 0.68
Offered Process: Shaping, Offered Material: Steel, Offered Machine: ShaperMachine, Offered Capacity: 75, Certification: ISO9002, Available from-to: 2019-01-15 - 2019-04-01
Offered Process: CNCMilling, Offered Material: Steel, Offered Machine: ComputerControlledMachineTool, Offered Capacity: 75, Certification: ISO9002, Available from-to: 2019-02-01 - 2019-04-15
Offered Process: LaserBeamCutting, Offered Material: HighAlloySteel, Offered Machine: LaserCuttingMachine, Offered Capacity: 150, Certification: ISO9002, Available from-to: 2019-01-15 - 2019-04-01
Offered Process: WaterJetCutting, Offered Material: LowCarbonSteel, Offered Machine: WaterJetCuttingMachine, Offered Capacity: 100, Certification: ISO9002, Available from-to: 2019-02-15 - 2019-05-01
26. Supplier Name: Mayert, Mueller and Willms, Similarity Score: 0.68
Offered Process: Milling, Offered Material: AlloySteel, Offered Machine: MillingMachine, Offered Capacity: 150, Certification: ISO9004, Available from-to: 2019-02-01 - 2019-04-15
27. Supplier Name: Green, O'Reilly and Kertzmann, Similarity Score: 0.68
Offered Process: PrecisionMilling, Offered Material: LowAlloySteel, Offered Machine: ComputerControlledMachineTool, Offered Capacity: 125, Certification: ISO9000, Available from-to: 2019-02-01 - 2019-04-15
Offered Process: HorizontalMilling, Offered Material: StainlessSteel_302, Offered Machine: HorizontalMillingMachine, Offered Capacity: 125, Certification: ISO9000, Available from-to: 2019-01-01 - 2019-03-15
28. Supplier Name: Kulas, Dach and McClure, Similarity Score: 0.68
Offered Process: PrecisionMilling, Offered Material: CarbonSteel, Offered Machine: ComputerControlledMachineTool, Offered Capacity: 75, Certification: QS9000, Available from-to: 2019-02-15 - 2019-05-01
Offered Process: ManualMilling, Offered Material: StainlessSteel, Offered Machine: ManualMachineTool, Offered Capacity: 125, Certification: QS9000, Available from-to: 2019-02-01 - 2019-04-15
29. Supplier Name: Barton and Sons, Similarity Score: 0.68
Offered Process: WireEDM, Offered Material: StainlessSteel_304, Offered Machine: EDMMachine, Offered Capacity: 75, Certification: ISO9001, Available from-to: 2019-02-15 - 2019-05-01
Offered Process: Milling, Offered Material: StainlessSteel_400, Offered Machine: MillingMachine, Offered Capacity: 125, Certification: ISO9001, Available from-to: 2019-02-01 - 2019-04-15
30. Supplier Name: Mueller, Eichmann and Klocko, Similarity Score: 0.68
Offered Process: LaserBeamCutting, Offered Material: StainlessSteel_302, Offered Machine: LaserCuttingMachine, Offered Capacity: 75, Certification: ISO14000, Available from-to: 2019-02-01 - 2019-04-15
31. Supplier Name: Bartell LLC, Similarity Score: 0.68
Offered Process: WaterJetCutting, Offered Material: StainlessSteel_316, Offered Machine: WaterJetCuttingMachine, Offered Capacity: 150, Certification: ISO9004, Available from-to: 2019-02-01 - 2019-04-15
Offered Process: WireEDM, Offered Material: HighAlloySteel, Offered Machine: EDMMachine, Offered Capacity: 75, Certification: ISO9004, Available from-to: 2019-02-01 - 2019-04-15
Offered Process: ElectricalDischargeMachining, Offered Material: WhiteIron, Offered Machine: EDMMachine, Offered Capacity: 75, Certification: ISO9004, Available from-to: 2019-02-15 - 2019-05-01
Offered Process: CNCMilling, Offered Material: Steel, Offered Machine: ComputerControlledMachineTool, Offered Capacity: 125, Certification: ISO9004, Available from-to: 2019-02-01 - 2019-04-15
32. Supplier Name: Cummerata Group, Similarity Score: 0.68
Offered Process: ManualMilling, Offered Material: MediumCarbonSteel, Offered Machine: ManualMachineTool, Offered Capacity: 150, Certification: ISO9002, Available from-to: 2019-02-01 - 2019-04-15
33. Supplier Name: Moore and Sons, Similarity Score: 0.67
Offered Process: Planing, Offered Material: StainlessSteel_304, Offered Machine: ShaperMachine, Offered Capacity: 150, Certification: ISO14000, Available from-to: 2019-02-01 - 2019-04-15
34. Supplier Name: Wilderman-Schmidt, Similarity Score: 0.67
Offered Process: Shaping, Offered Material: AlloySteel, Offered Machine: ShaperMachine, Offered Capacity: 150, Certification: ISO9003, Available from-to: 2019-02-01 - 2019-04-15
Offered Process: WaterJetCutting, Offered Material: MalleableIron, Offered Machine: WaterJetCuttingMachine, Offered Capacity: 125, Certification: ISO9003, Available from-to: 2019-01-01 - 2019-03-15
Offered Process: ElectricalDischargeMachining, Offered Material: MediumCarbonSteel, Offered Machine: EDMMachine, Offered Capacity: 100, Certification: ISO9003, Available from-to: 2019-02-01 - 2019-04-15
35. Supplier Name: Schoen Inc, Similarity Score: 0.67
Offered Process: WireEDM, Offered Material: StainlessSteel_302, Offered Machine: EDMMachine, Offered Capacity: 50, Certification: ISO9004, Available from-to: 2019-01-01 - 2019-03-15
Offered Process: WireEDM, Offered Material: Steel, Offered Machine: EDMMachine, Offered Capacity: 150, Certification: ISO9004, Available from-to: 2019-02-01 - 2019-04-15
Offered Process: CNCTurning, Offered Material: MartensiticStainlessSteel, Offered Machine: CNCTurnMachine, Offered Capacity: 100, Certification: ISO9004, Available from-to: 2019-03-01 - 2019-05-15
36. Supplier Name: Gibson-Jacobi, Similarity Score: 0.67
Offered Process: HorizontalMilling, Offered Material: StainlessSteel_304, Offered Machine: HorizontalMillingMachine, Offered Capacity: 125, Certification: ISO9002, Available from-to: 2019-02-01 - 2019-04-15
Offered Process: ElectricalDischargeMachining, Offered Material: MalleableIron, Offered Machine: EDMMachine, Offered Capacity: 75, Certification: ISO9002, Available from-to: 2019-02-15 - 2019-05-01
Offered Process: LaserBeamCutting, Offered Material: Steel, Offered Machine: LaserCuttingMachine, Offered Capacity: 125, Certification: ISO9002, Available from-to: 2019-01-01 - 2019-03-15
37. Supplier Name: Corwin Group, Similarity Score: 0.67
Offered Process: Milling, Offered Material: StainlessSteel_304, Offered Machine: MillingMachine, Offered Capacity: 150, Certification: AS9100, Available from-to: 2019-02-01 - 2019-04-15
38. Supplier Name: Dickinson LLC, Similarity Score: 0.67
Offered Process: Planing, Offered Material: StainlessSteel_400, Offered Machine: ShaperMachine, Offered Capacity: 125, Certification: ISO9004, Available from-to: 2019-02-01 - 2019-04-15
39. Supplier Name: Sawayn, Howell and Abshire, Similarity Score: 0.67
Offered Process: CNCMilling, Offered Material: WhiteIron, Offered Machine: ComputerControlledMachineTool, Offered Capacity: 50, Certification: ISO9001, Available from-to: 2019-02-01 - 2019-04-15
Offered Process: GearHobbing, Offered Material: StainlessSteel_400, Offered Machine: GearShaperMachine, Offered Capacity: 150, Certification: ISO9001, Available from-to: 2019-02-01 - 2019-04-15
40. Supplier Name: Grimes Inc, Similarity Score: 0.67
Offered Process: LaserBeamCutting, Offered Material: LowAlloySteel, Offered Machine: LaserCuttingMachine, Offered Capacity: 125, Certification: ISO9003, Available from-to: 2019-03-01 - 2019-05-15
Offered Process: HorizontalMilling, Offered Material: GrayIron, Offered Machine: HorizontalMillingMachine, Offered Capacity: 75, Certification: ISO9003, Available from-to: 2019-02-15 - 2019-05-01
41. Supplier Name: Nitzsche, Stiedemann and Lockman, Similarity Score: 0.67
Offered Process: ManualMilling, Offered Material: StainlessSteel_302, Offered Machine: ManualMachineTool, Offered Capacity: 125, Certification: ISO9004, Available from-to: 2019-01-01 - 2019-03-15
Offered Process: WireEDM, Offered Material: HighAlloySteel, Offered Machine: EDMMachine, Offered Capacity: 150, Certification: ISO9004, Available from-to: 2019-01-15 - 2019-04-01
Offered Process: LaserBeamCutting, Offered Material: LowAlloySteel, Offered Machine: LaserCuttingMachine, Offered Capacity: 150, Certification: ISO9004, Available from-to: 2019-02-15 - 2019-05-01
42. Supplier Name: Pagac-Gulgowski, Similarity Score: 0.67
Offered Process: Milling, Offered Material: MartensiticStainlessSteel, Offered Machine: MillingMachine, Offered Capacity: 50, Certification: ISO14000, Available from-to: 2019-01-15 - 2019-04-01
Offered Process: Planing, Offered Material: MartensiticStainlessSteel, Offered Machine: ShaperMachine, Offered Capacity: 125, Certification: ISO14000, Available from-to: 2019-02-01 - 2019-04-15
Offered Process: Shaping, Offered Material: MalleableIron, Offered Machine: ShaperMachine, Offered Capacity: 75, Certification: ISO14000, Available from-to: 2019-01-01 - 2019-03-15
Offered Process: Planing, Offered Material: StainlessSteel_400, Offered Machine: ShaperMachine, Offered Capacity: 150, Certification: ISO14000, Available from-to: 2019-02-15 - 2019-05-01
43. Supplier Name: Johns, Haley and Trantow, Similarity Score: 0.67
Offered Process: HoleMaking, Offered Material: MediumCarbonSteel, Offered Machine: EDMDrillingMachine, Offered Capacity: 125, Certification: ISO9000, Available from-to: 2019-02-01 - 2019-04-15
Offered Process: Planing, Offered Material: AlloySteel, Offered Machine: ShaperMachine, Offered Capacity: 100, Certification: ISO9000, Available from-to: 2019-02-15 - 2019-05-01
Offered Process: HorizontalMilling, Offered Material: MalleableIron, Offered Machine: HorizontalMillingMachine, Offered Capacity: 75, Certification: ISO9000, Available from-to: 2019-02-15 - 2019-05-01
Offered Process: Planing, Offered Material: GrayIron, Offered Machine: ShaperMachine, Offered Capacity: 125, Certification: ISO9000, Available from-to: 2019-02-15 - 2019-05-01
44. Supplier Name: Schmitt-Leffler, Similarity Score: 0.67
Offered Process: CNCTurning, Offered Material: StainlessSteel_400, Offered Machine: CNCTurnMachine, Offered Capacity: 150, Certification: ISO14000, Available from-to: 2019-02-01 - 2019-04-15
Offered Process: ElectricalDischargeMachining, Offered Material: Steel, Offered Machine: EDMMachine, Offered Capacity: 75, Certification: ISO14000, Available from-to: 2019-01-01 - 2019-03-15
45. Supplier Name: Kuhlman, Steuber and Barton, Similarity Score: 0.66
Offered Process: CNCMilling, Offered Material: StainlessSteel_302, Offered Machine: ComputerControlledMachineTool, Offered Capacity: 125, Certification: LEED, Available from-to: 2019-02-01 - 2019-04-15
46. Supplier Name: Effertz, Haley and Langworth, Similarity Score: 0.66
Offered Process: LaserBeamCutting, Offered Material: StainlessSteel_316, Offered Machine: LaserCuttingMachine, Offered Capacity: 75, Certification: QS9000, Available from-to: 2019-02-01 - 2019-04-15
Offered Process: HorizontalMilling, Offered Material: HighAlloySteel, Offered Machine: HorizontalMillingMachine, Offered Capacity: 50, Certification: QS9000, Available from-to: 2019-02-01 - 2019-04-15
Offered Process: WaterJetCutting, Offered Material: GrayIron, Offered Machine: WaterJetCuttingMachine, Offered Capacity: 125, Certification: QS9000, Available from-to: 2019-02-15 - 2019-05-01
47. Supplier Name: Hand-Gislason, Similarity Score: 0.66
Offered Process: LaserBeamCutting, Offered Material: StainlessSteel_316, Offered Machine: LaserCuttingMachine, Offered Capacity: 100, Certification: QS9000, Available from-to: 2019-02-01 - 2019-04-15
48. Supplier Name: Turner Inc, Similarity Score: 0.66
Offered Process: GearHobbing, Offered Material: AlloySteel, Offered Machine: GearShaperMachine, Offered Capacity: 150, Certification: ISO14000, Available from-to: 2019-02-01 - 2019-04-15
49. Supplier Name: Bradtke-Casper, Similarity Score: 0.66
Offered Process: SinkerEDM, Offered Material: MediumCarbonSteel, Offered Machine: EDMMachine, Offered Capacity: 125, Certification: ISO9004, Available from-to: 2019-02-01 - 2019-04-15
Offered Process: GearHobbing, Offered Material: LowAlloySteel, Offered Machine: GearShaperMachine, Offered Capacity: 125, Certification: ISO9004, Available from-to: 2019-01-15 - 2019-04-01
50. Supplier Name: Nicolas and Sons, Similarity Score: 0.66
Offered Process: Planing, Offered Material: StainlessSteel, Offered Machine: ShaperMachine, Offered Capacity: 125, Certification: MIL, Available from-to: 2019-02-01 - 2019-04-15
51. Supplier Name: Kreiger Inc, Similarity Score: 0.66
Offered Process: VerticalMilling, Offered Material: StainlessSteel_316, Offered Machine: VerticalMillingMachine, Offered Capacity: 150, Certification: LEED, Available from-to: 2019-03-01 - 2019-05-15
Offered Process: Planing, Offered Material: CarbonSteel, Offered Machine: ShaperMachine, Offered Capacity: 125, Certification: LEED, Available from-to: 2019-02-01 - 2019-04-15
Offered Process: LaserBeamCutting, Offered Material: StainlessSteel, Offered Machine: LaserCuttingMachine, Offered Capacity: 125, Certification: LEED, Available from-to: 2019-02-15 - 2019-05-01
52. Supplier Name: Lemke-Johns, Similarity Score: 0.66
Offered Process: Milling, Offered Material: MediumCarbonSteel, Offered Machine: MillingMachine, Offered Capacity: 125, Certification: ISO14000, Available from-to: 2019-02-01 - 2019-04-15
Offered Process: GearHobbing, Offered Material: WhiteIron, Offered Machine: GearShaperMachine, Offered Capacity: 75, Certification: ISO14000, Available from-to: 2019-02-01 - 2019-04-15
Offered Process: Shaping, Offered Material: LowAlloySteel, Offered Machine: ShaperMachine, Offered Capacity: 75, Certification: ISO14000, Available from-to: 2019-01-15 - 2019-04-01
Offered Process: VerticalMilling, Offered Material: Steel, Offered Machine: VerticalMillingMachine, Offered Capacity: 75, Certification: ISO14000, Available from-to: 2019-02-01 - 2019-04-15
53. Supplier Name: Fahey Group, Similarity Score: 0.66
Offered Process: LaserBeamCutting, Offered Material: CastIron, Offered Machine: LaserCuttingMachine, Offered Capacity: 75, Certification: ISO9001, Available from-to: 2019-02-01 - 2019-04-15
54. Supplier Name: Dickinson-Effertz, Similarity Score: 0.66
Offered Process: VerticalMilling, Offered Material: StainlessSteel_302, Offered Machine: VerticalMillingMachine, Offered Capacity: 150, Certification: AS9000, Available from-to: 2019-02-01 - 2019-04-15
55. Supplier Name: Beatty-Hilll, Similarity Score: 0.66
Offered Process: Planing, Offered Material: StainlessSteel_302, Offered Machine: ShaperMachine, Offered Capacity: 125, Certification: AS9000, Available from-to: 2019-02-01 - 2019-04-15
56. Supplier Name: Harber, Cummerata and Beatty, Similarity Score: 0.66
Offered Process: HoleMaking, Offered Material: StainlessSteel_316, Offered Machine: EDMDrillingMachine, Offered Capacity: 125, Certification: QS9000, Available from-to: 2019-02-01 - 2019-04-15
57. Supplier Name: Stehr LLC, Similarity Score: 0.66
Offered Process: CNCMilling, Offered Material: StainlessSteel_316, Offered Machine: ComputerControlledMachineTool, Offered Capacity: 75, Certification: MIL, Available from-to: 2019-01-15 - 2019-04-01
Offered Process: HorizontalMilling, Offered Material: StainlessSteel_302, Offered Machine: HorizontalMillingMachine, Offered Capacity: 125, Certification: MIL, Available from-to: 2019-02-01 - 2019-04-15
58. Supplier Name: Treutel Group, Similarity Score: 0.66
Offered Process: HoleMaking, Offered Material: AusteniticStainlessSteel, Offered Machine: EDMDrillingMachine, Offered Capacity: 125, Certification: AS9100, Available from-to: 2019-02-01 - 2019-04-15
Offered Process: SinkerEDM, Offered Material: CastIron, Offered Machine: EDMMachine, Offered Capacity: 75, Certification: AS9100, Available from-to: 2019-01-01 - 2019-03-15
Offered Process: ManualMilling, Offered Material: WhiteIron, Offered Machine: ManualMachineTool, Offered Capacity: 75, Certification: AS9100, Available from-to: 2019-02-01 - 2019-04-15
59. Supplier Name: Connelly-Kertzmann, Similarity Score: 0.66
Offered Process: SinkerEDM, Offered Material: HighAlloySteel, Offered Machine: EDMMachine, Offered Capacity: 125, Certification: AS9100, Available from-to: 2019-02-01 - 2019-04-15
60. Supplier Name: Hoeger LLC, Similarity Score: 0.66
Offered Process: LaserBeamCutting, Offered Material: HighAlloySteel, Offered Machine: LaserCuttingMachine, Offered Capacity: 150, Certification: MIL, Available from-to: 2019-03-01 - 2019-05-15
Offered Process: PrecisionMilling, Offered Material: MediumCarbonSteel, Offered Machine: ComputerControlledMachineTool, Offered Capacity: 100, Certification: MIL, Available from-to: 2019-03-01 - 2019-05-15
61. Supplier Name: Mertz-Fisher, Similarity Score: 0.66
Offered Process: VerticalMilling, Offered Material: MediumCarbonSteel, Offered Machine: VerticalMillingMachine, Offered Capacity: 50, Certification: QS9000, Available from-to: 2019-01-01 - 2019-03-15
Offered Process: VerticalMilling, Offered Material: MediumCarbonSteel, Offered Machine: VerticalMillingMachine, Offered Capacity: 50, Certification: QS9000, Available from-to: 2019-01-01 - 2019-03-15
Offered Process: WireEDM, Offered Material: HighAlloySteel, Offered Machine: EDMMachine, Offered Capacity: 150, Certification: QS9000, Available from-to: 2019-02-01 - 2019-04-15
